scene_id,im_id,obj_id,IoU
54,595,15,0.8525422025723473
54,598,15,0.8772009256464433
54,604,15,0.8756233792140435
54,681,15,0.8451077617948843
54,741,15,0.8453317788788497
54,866,15,0.6882664647993944
54,1012,15,0.7003182267090969
54,1024,15,0.7892906504971242
54,1025,15,0.8093467870419543
54,1028,15,0.7248530313412919
54,1029,15,0.8629554117542771
54,1032,15,0.7212204780087682
54,1033,15,0.8698552493896059
54,1039,15,0.7257349838233226
54,1042,15,0.8176607010020567
54,1063,15,0.7944434675575874
54,1068,15,0.7018319422832083
54,1080,15,0.7140674412820239
54,1083,15,0.7132410089733625
54,1089,15,0.7245146058705381
54,1096,15,0.8594622905027933
54,1106,15,0.7171838129116331
54,1110,15,0.8295582747548381
54,1111,15,0.8856122718857445
54,1134,15,0.7828585108929854
54,1178,15,0.797624911070979
54,1355,15,0.7885159725030327
54,1531,15,0.8069820032036182
54,1539,15,0.7765227337718044
54,1543,15,0.8189199395770392
54,1547,15,0.8253026235222081
54,1550,15,0.7508020381204
54,1557,15,0.812205052280929
54,1559,15,0.8361938890984534
54,1568,15,0.7564215300597029
54,1573,15,0.7376283415040237
54,1580,15,0.6964739590554092
54,1585,15,0.7747847308560114
54,1595,15,0.7439904944703409
54,1597,15,0.8257879395153944
54,1605,15,0.8447865127359355
54,1613,15,0.819084491004327
54,1619,15,0.8771044543327675
54,1625,15,0.8546719136084927
54,1663,15,0.7995291561028612
54,1844,15,0.7854603093004326
54,1,19,0.008452412538376985
54,22,19,0.007825883818719825
54,32,19,0.005027246910737585
54,38,19,0.007456175140794797
54,43,19,0.007223015711079372
54,50,19,0.007055961070559611
54,56,19,0.0005118916364781856
54,63,19,0.020991660847060757
54,69,19,0.0029218699967979507
54,81,19,0.0009927074185789011
54,86,19,0.007002154509079717
54,90,19,0.008970672800460034
54,135,19,0.001986754966887417
54,202,19,0.005188516084399862
54,390,19,0.005606389168033004
54,479,19,0.005982981740826095
54,514,19,0.01147799377601746
54,520,19,0.010943366083552999
54,524,19,0.010841076959733143
54,530,19,0.010044336328324244
54,537,19,0.011447577058436787
54,543,19,0.014159764894469677
54,560,19,0.014206437291897892
54,561,19,0.014237262867578548
54,568,19,0.009415776986951363
54,577,19,0.0088379705400982
54,583,19,0.010328706556010583
54,588,19,0.009371970268232253
54,589,19,0.009515601996481023
54,595,19,0.009913981629975215
54,598,19,0.011605831572160332
54,604,19,0.010150832797197798
54,681,19,0.008016032064128256
54,741,19,0.005037972779908264
54,866,19,0.0032808195858739053
54,1012,19,0.007901159243441123
54,1024,19,0.006578542883492161
54,1025,19,0.004830184093808859
54,1028,19,0.0022651722413438062
54,1029,19,0.0023182111626269147
54,1032,19,0.0026220720195781378
54,1033,19,0.0032001409236370043
54,1039,19,0.00167663978261498
54,1042,19,0.0040217993180427245
54,1063,19,0.0020230780758279635
54,1068,19,0.0034328667396644075
54,1080,19,0.003857479387514723
54,1083,19,0.004102323673337826
54,1089,19,0.003872496604340664
54,1096,19,0.0021707245526547373
54,1106,19,0.0004937984721294333
54,1110,19,0.002800459864988356
54,1111,19,0.0007544979686593151
54,1134,19,0.0036540298135614335
54,1178,19,0.003278688524590164
54,1355,19,0.005527593025346036
54,1531,19,0.004973876698014629
54,1539,19,0.0029219363279546448
54,1543,19,0.0011563080735081561
54,1547,19,0.001082049177269505
54,1550,19,0.0021487458340641993
54,1557,19,0.0027491408934707906
54,1559,19,0.0069692124789898745
54,1568,19,0.0009017132551848512
54,1573,19,0.002523384816184468
54,1580,19,0.0032479414455626717
54,1585,19,0.0026181326802077617
54,1595,19,0.010039456378781236
54,1597,19,0.006202116016052536
54,1605,19,0.007339522335951757
54,1613,19,0.0020284798571950182
54,1619,19,0.00515723758191477
54,1625,19,0.008071784021002311
54,1663,19,0.011283029825361928
54,1844,19,0.004228329809725159
55,22,1,0.9052680009201748
55,42,1,0.9138031974780455
55,49,1,0.9033473929821413
55,62,1,0.9115350089766607
55,89,1,0.9053063891352032
55,100,1,0.9003518648838846
55,128,1,0.895299343018414
55,205,1,0.8925077006704113
55,360,1,0.9200726141078838
55,454,1,0.8565955408928857
55,512,1,0.9115677408276572
55,513,1,0.9077678214713772
55,526,1,0.8991868994143402
55,530,1,0.9036652795987004
55,546,1,0.9035532994923858
55,562,1,0.9164975355175413
55,563,1,0.9121832696980215
55,588,1,0.9156308630393997
55,598,1,0.9149714016156613
55,603,1,0.9001525284524229
55,610,1,0.9133254716981132
55,612,1,0.920264603390231
55,618,1,0.8949207828518173
55,621,1,0.9149486049926578
55,622,1,0.9184609954112248
55,638,1,0.9160901188575483
55,641,1,0.8923311623540456
55,649,1,0.9149366486229255
55,654,1,0.9219875037191312
55,663,1,0.9083165739973974
55,793,1,0.9175843282717051
55,920,1,0.9343374352639331
55,1025,1,0.9241510795073943
55,1038,1,0.9303119664752445
55,1040,1,0.929251630266018
55,1041,1,0.9300222233707168
55,1042,1,0.9280582975864385
55,1044,1,0.927445120065959
55,1046,1,0.9290564872929313
55,1048,1,0.9296361019736842
55,1049,1,0.9286814540973506
55,1053,1,0.9319490131578947
55,1055,1,0.929806557545282
55,1064,1,0.9317716857610474
55,1068,1,0.928618942843985
55,1088,1,0.9228120663960121
55,1100,1,0.9279064956557717
55,1103,1,0.9303879421971306
55,1115,1,0.9255821189648914
55,1120,1,0.9237586814553748
55,1132,1,0.9287572855953372
55,1136,1,0.9237296959600166
55,1147,1,0.9274848926859762
55,1151,1,0.9304117004111799
55,1161,1,0.9317862531869504
55,1164,1,0.9295679333680374
55,1176,1,0.922366764582459
55,1177,1,0.9232104349655499
55,1189,1,0.9125613812767306
55,1347,1,0.9391010652117433
55,1520,1,0.9372572291756581
55,1543,1,0.9301474545258853
55,1563,1,0.9178038885083514
55,1567,1,0.9266627238023549
55,1585,1,0.9274250202647933
55,1592,1,0.9319735271780406
55,1603,1,0.9183154935668721
55,1604,1,0.9283226298029825
55,1609,1,0.9140865173473869
55,1612,1,0.9223284960422163
55,1625,1,0.9378943325835299
55,1632,1,0.9350414220661656
55,1643,1,0.9325492341356674
55,1666,1,0.9179623790366424
55,1717,1,0.9313330107006507
55,22,3,0.0015332501337136744
55,42,3,0.00169332756881395
55,49,3,0.0024511545293072826
55,62,3,0.0035368182782768622
55,89,3,0.00295954091023929
55,100,3,0.0033626672390355584
