scene_id,im_id,obj_id,x_offset,y_offset,z_offset,x_angle,y_angle,z_angle
48,1605,19,-98.87432157430243,14.570738030393215,-448.83339299522765,154.18226487463087,75.71438120943445,-145.67946695985773
48,1608,19,-85.00745193572476,12.845856147198532,-520.2801501053755,-8.968639491904698,4.227009717011649,2.8812739316424834
48,1609,19,-82.14812995457345,10.51620791716212,-484.6195561556534,-12.042148574997093,17.86682580748656,-3.1871696147851036
48,1611,19,-101.86865763088244,15.686568211240719,-576.1784413453165,13.792188312654762,29.981289265411995,-10.728018541606959
48,1619,19,-57.54706622127037,12.448434782717015,-397.60224814591277,-20.773542078080276,2.925572707779195,0.23962343463933014
48,1622,19,-8.81553502262966,21.71123512241566,-58.289511803197456,-38.921126255569675,-2.7712171703533293,1.0489863284763261
48,1624,19,-31.310932815322104,23.505493478881732,-193.35239203651088,-41.16424963227818,-7.138183121338013,1.5987579415527744
48,1626,19,-66.36047606900505,15.667370504694063,-440.4539901244211,-10.497079989420218,1.7612099610729681,0.20400505571236188
48,1631,19,-59.18423692962824,16.290453458741972,-383.81290758005787,-23.26845950816482,-5.576617334879372,2.359240335935025
48,1639,19,-90.43114053686188,15.120639981643677,-523.1726326973826,-5.152833274855437,11.476038870582299,-2.7035545826111904
48,1641,19,-75.68531750056201,11.306110231385276,-465.46457614962685,-12.186759518797523,8.952807144234308,-0.5512579719871157
48,1643,19,-64.26029235771261,20.78644574244378,-391.97232441573885,16.636831706136217,26.25277914770658,-2.2481015839892504
48,1644,19,-94.57964997266924,19.160048662704497,-451.48888189197623,116.99172929395418,76.53504798599722,-108.3768774082891
48,1645,19,-79.28567357754176,31.58740236354177,-320.9940108425152,147.36640417881793,75.91119536275524,-115.8734598613924
48,1648,19,-75.80061032214974,16.701162859680565,-474.8875617719149,-7.562399500414929,5.136326344507379,1.3006629520343278
48,1649,19,-67.76094304746854,21.392511688031306,-423.2280847375663,12.579712488134163,29.9479558823849,-1.158950138700137
48,1724,19,-44.95012037972927,24.469970365176962,-311.4463416947433,-20.342398368659193,11.89031243243213,3.6787161233204664
48,1874,19,-39.91231927576436,52.88000560505325,-390.95066276673856,-172.2880864632356,-3.244330331462179,-161.77115970634418
48,2040,19,-20.642677965063825,49.68270775014001,-162.5032175194891,-146.49081445790478,-1.4180038936638246,-162.72839079727513
48,2050,19,-39.69887159474773,37.21722020745574,-273.4087491784318,-15.064747549839472,-0.047680701078074816,2.354206653445214
48,2051,19,-18.80775169667818,34.01392682326009,-146.99158756198608,-33.57043965044879,-17.74358411433313,4.188634298019068
48,2066,19,-50.461876264072956,45.12094182120377,-358.28897921368537,12.833830117371843,15.434146675950261,-0.5925996680170037
48,2069,19,-45.76498598693959,42.792422564586374,-330.3429144775256,3.363039877282341,3.113784527459853,2.1021258982523507
48,2070,19,-20.860064622017347,26.46211603425827,-133.14819339334485,-0.2688740314805627,7.752959892031747,0.4521995648044824
48,2083,19,-37.63629933157303,37.165533361668906,-317.534990546475,-19.947272867148676,-12.704746096321443,0.9354129141990626
48,2090,19,-46.36801932492102,58.056035565853584,-362.38903674635014,156.07120736242,-1.2559228684992254,-168.9584107929542
48,2104,19,-66.40155963929342,56.740880730077194,-431.7050810446924,11.77443766926947,14.419673789131174,-6.499288316151687
48,2133,19,-48.74529355653682,46.096378816625815,-336.32946690770495,5.155304435627908,1.7177845922659833,-0.010734876783710762
48,2144,19,-38.03887630155795,39.52741334192807,-274.2741047934386,-4.342013195195111,0.2764926290829583,1.7390673918198742
48,2160,19,-56.43883257254612,52.319040701181876,-356.4059949420822,9.214441427580208,12.691508063277958,-2.254571839134869
